plant_id,N,C,cn_percent,n_molar,c_molar,cn_molar,plant_size_1,plant_size_2,plant_area,leaf1_length,leaf1_width,leaf2_length,leaf2_width,leaf3_length,leaf3_width,leaf1_area,leaf2_area,leaf3_area,total_leaf_area,leaves_sampled,average_leaf_size,season,quality_PC1,quality_PC2
c148,2.898,45.54,15.714285714285714,2069.0098310094454,37915.244359337274,18.325308942992734,20,27,540,80,42,82,35,55,27,3360,2870,1485,7715,3,2571.6666666666665,autumn,-5.073693059915373,-0.513203726786382
c152,2.182,45.83,21.00366636113657,1557.8258976061456,38156.689701107316,24.493552045669105,15,11,165,45,23,40,24,45,23,1035,960,1035,3030,3,1010,autumn,-0.6576171441188859,-0.2898934978793861
c157,2.573,45.8,17.800233190827825,1836.9780176629754,38131.71259678628,20.757849157769392,14,10,140,25,15,39,15,37,17,375,585,629,1589,3,529.6666666666666,autumn,0.19562681718202515,0.2838327509622255
c163,2.639,46.88,17.764304660856386,1884.0983243733353,39030.88835234369,20.715950886122485,25,18,450,40,20,30,17,27,16,800,510,432,1742,3,580.6666666666666,autumn,-1.6131381847123367,1.941087383563176
c169,1.961,45.4,23.151453340132583,1400.0442645305461,37798.68453917242,26.99820676873158,15,12,180,29,16,50,26,60,30,464,1300,1800,3564,3,1188,autumn,-1.0058729062314526,-0.47043863251637325
c172,1.668,45.45,27.248201438848923,1190.8586604981901,37840.31304637416,31.775654241405814,10,8,80,22,15,18,14,23,14,330,252,322,904,3,301.3333333333333,autumn,0.8702134413030762,0.2875768651809579
c177,2.214,45.62,20.605239385727188,1580.6721069202595,37981.84997086005,24.028924028312804,6,9,54,23,13,18,10,17,13,299,180,221,700,3,233.33333333333334,autumn,1.1165695646441862,0.2432345675643965
c179,2.485,44.82,18.036217303822937,1774.150942049162,37315.793855632335,21.033043452623158,12,6,72,32,22,35,19,32,15,704,665,480,1849,3,616.3333333333334,autumn,0.4470366054198521,-0.22504563868924204
c185,2.024,47.28,23.359683794466402,1445.022739117708,39363.916409957536,27.2410359673593,7,7,49,37,11,37,15,37,13,407,555,481,1443,3,481,autumn,0.7766383150240875,-0.15260022454756195
e01,2.667,39.95,14.979377577802778,1904.0887575231852,33261.17725418367,17.46829139280744,16,21,336,52,21,45,18,66,37,1092,810,2442,4344,3,1448,spring,-2.2641710712249274,0.015453728236180186
e02,2.66,42.27,15.890977443609023,1899.0911492357232,35192.73998834402,18.53135906747136,15,21,315,64,36,38,18,37,37,2304,684,1369,4357,3,1452.3333333333333,spring,-2.153210347027363,-0.10838042603206666
e13,2.008,44.4,22.111553784860558,1433.599634460651,36966.11439513779,25.78552163836536,15,13,195,53,22,54,18,29,12,1166,972,348,2486,3,828.6666666666666,spring,-0.555976003961734,0.14716889722892512
e21,2.019,43.75,21.669143140168398,1441.4530189123775,36424.94380151528,25.269601800132943,21,11,231,53,20,52,25,47,22,1060,1300,1034,3394,3,1131.3333333333333,spring,-1.2068085455547095,-0.10115813842265908
e34,3.231,45.13,13.967811822965027,2306.753196684444,37573.89060028308,16.288647894490403,27,16,432,55,22,98,39,53,28,1210,3822,1484,6516,3,2172,spring,-3.876271621974527,-0.5232988066697095
e37,2.508,44.18,17.615629984051036,1790.5716549936817,36782.948963450166,20.54257301620245,18,19.5,351,37,20,33,17,30,21,740,561,630,1931,3,643.6666666666666,spring,-1.1532730480182667,1.294062378918421
e51,1.622,44.22,27.26263871763255,1158.0172346091515,36816.25176921156,31.79249036102438,16,7,112,43,24,32,15,54,24,1032,480,1296,2808,3,936,spring,-0.25140908138543583,-0.47626298555965085
e63,1.582,43.25,27.33881163084703,1129.4594729665089,36008.65872949796,31.881319862608034,4,4,16,27,8,38,22,37,17,216,836,629,1681,3,560.3333333333334,spring,0.8432786069079051,-0.45492331311001977
e93,2.017,43.14,21.388200297471492,1440.0251308302454,35917.07601365415,24.941978611821995,11,15,165,40,12,22,10,28,11,480,220,308,1008,3,336,spring,0.34353960983953896,0.7112632560790388
e94,0.982,43.77,44.57230142566192,701.0930483268722,36441.59520439597,51.9782577952559,17,9,153,17,13,18,17,23,11,221,306,253,780,3,260,spring,0.5235139399111364,0.7570690841701724
e97,2.138,43.5,20.346117867165578,1526.4123597992389,36216.80126550663,23.72674790858614,8.5,6,51,22,18,15,12,13,4,396,180,52,628,3,209.33333333333334,spring,1.1689901260490174,0.26211300347411176
e106,4.385,42.27,9.63968072976055,3130.644620074678,35192.73998834402,11.241371749024818,27,13.5,364.5,63,32,45,23,82,43,2016,1035,3526,6577,3,2192.3333333333335,autumn,-3.5291257576279964,-0.930850765963287
e107,2.92,39.22,13.431506849315069,2084.716599912899,32653.401049038384,15.663232618957737,5,4,20,68,27,60,30,29,12,1836,1800,348,3984,3,1328,autumn,-0.3193716351957887,-1.5728507212202256
